,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,,,,0.09
secondary.dMass,,,,0.06
primary.dObliquity,,,,0.0
secondary.dObliquity,,,,0.0
primary.dRotPeriod,,,,0.06
secondary.dRotPeriod,,,,0.04
secondary.dEcc,,,,0.41
secondary.dOrbPeriod,,,,0.41
primary.dTidalTau,,,,0.42
