,"$\rm P_{rot1,f}$ [d]","$\rm P_{rot2,f}$ [d]","$\rm P_{orb,f}$ [d]",$e_f$
"$\rm M_1 \,[M_{\odot}]$",0.02,0.03,0.01,0.05
"$\rm M_2 \,[M_{\odot}]$",0.02,0.03,0.01,0.03
"\rm $\varepsilon_{1,i}$ [deg]",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{2,i}$ [deg]",0.0,0.0,0.0,0.0
"$\rm P_{rot1,i}$ [d]",0.48,0.0,0.02,0.01
"$\rm P_{rot2,i}$ [d]",0.0,0.46,0.01,0.01
$e_i$,0.12,0.11,0.06,0.58
"$\rm P_{orb,i}$ [d]",0.56,0.5,0.97,0.42
$\rm \log\tau_1$ [dex(s)],0.3,0.29,0.02,0.3
