,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.01,0.0,0.0,0.0
secondary.dMass,0.01,0.0,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.24,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.19,0.0,0.0
secondary.dEcc,0.04,0.03,0.02,0.4
secondary.dOrbPeriod,0.33,0.31,0.96,0.18
primary.dTidalTau,0.05,0.01,0.0,0.12
