,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,,,,0.0
secondary.dMass,,,,0.0
primary.dObliquity,,,,0.0
secondary.dObliquity,,,,0.0
primary.dRotPeriod,,,,0.0
secondary.dRotPeriod,,,,0.01
secondary.dEcc,,,,0.07
secondary.dOrbPeriod,,,,0.19
primary.dTidalTau,,,,0.22
