,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,,,,0.1
secondary.dMass,,,,0.09
primary.dObliquity,,,,0.0
secondary.dObliquity,,,,0.0
primary.dRotPeriod,,,,0.08
secondary.dRotPeriod,,,,0.04
secondary.dEcc,,,,0.27
secondary.dOrbPeriod,,,,0.48
primary.dTidalTau,,,,0.6
